fase;inde;iaa;ieg;ips;ida;ipv;ian;defasagem;ano;pedra;genero;instituicao_ensino;ano_nascimento;ipp;idade;escola_publica;genero_binario;perfil_defasagem
5;8,282;8,3;9,1;8,8;8,7;9,417;5,0;-1;2022;Topázio;Menino;Rede Decisão;2006;6,3;16;0;1;Moderada
5;7,368;7,1;8,1;8,1;7,5;8,25;5,0;-1;2022;Ametista;Menino;Escola Pública;2006;5,8;16;1;1;Moderada
5;7,712;8,3;7,7;7,5;9,3;7,875;5,0;-2;2022;Ametista;Menina;Escola Pública;2005;6,6;17;1;0;Moderada
5;5,665;7,5;5,6;7,5;4,5;5,917;5,0;-2;2022;Quartzo;Menina;Escola Pública;2005;4,6;17;1;0;Moderada
5;5,195;5,8;3,0;7,5;3,6;6,889;5,0;-1;2022;Quartzo;Menina;Escola Pública;2006;6,7;16;1;0;Moderada
5;6,438;8,3;6,0;7,5;4,0;7,944;5,0;-1;2022;Ágata;Menino;Escola Pública;2006;7,7;16;1;1;Moderada
5;5,718;8,3;6,1;7,5;2,5;6,167;5,0;-1;2022;Quartzo;Menino;Escola Pública;2006;6,8;16;1;1;Moderada
5;5,712;8,8;6,6;5,0;2,9;6,111;5,0;-1;2022;Quartzo;Menina;Escola Pública;2006;7,1;16;1;0;Moderada
5;4,332;7,9;2,0;7,5;1,2;5,833;5,0;-2;2022;Quartzo;Menina;Escola Pública;2005;4,9;17;1;0;Moderada
5;7,64;8,3;7,5;7,5;7,8;8,667;5,0;-2;2022;Ametista;Menina;Escola Pública;2005;7,7;17;1;0;Moderada
5;5,271;7,1;3,0;7,5;3,3;7,278;5,0;-2;2022;Quartzo;Menina;Escola Pública;2005;6,0;17;1;0;Moderada
5;4,989;9,6;3,3;7,5;2,0;5,833;5,0;-1;2022;Quartzo;Menino;Escola Pública;2006;5,5;16;1;1;Moderada
5;3,915;5,4;3,8;6,3;0,0;4,625;5,0;-1;2022;Quartzo;Menina;Escola Pública;2006;5,6;16;1;0;Moderada
5;9,105;10,0;9,1;8,1;8,7;9,292;10,0;0;2022;Topázio;Menina;Rede Decisão;2007;8,8;15;0;0;Em fase
5;3,846;7,1;2,7;5,0;0,7;4,625;5,0;-1;2022;Quartzo;Menino;Escola Pública;2006;5,3;16;1;1;Moderada
5;7,04;8,3;6,6;5,6;7,2;8,0;5,0;-2;2022;Ametista;Menino;Rede Decisão;2005;7,9;17;0;1;Moderada
5;6,847;5,4;6,3;5,6;8,9;7,292;5,0;-1;2022;Ágata;Menina;Rede Decisão;2006;7,5;16;0;0;Moderada
5;7,29;9,2;8,3;5,0;7,1;7,625;5,0;-1;2022;Ametista;Menina;Rede Decisão;2006;7,6;16;0;0;Moderada
5;7,675;9,2;9,2;5,0;6,0;7,458;10,0;1;2022;Ametista;Menina;Rede Decisão;2008;7,2;14;0;0;Em fase
5;6,596;8,8;6,8;7,5;5,5;6,417;5,0;-2;2022;Ágata;Menina;Escola Pública;2005;7,2;17;1;0;Moderada
5;6,671;7,9;6,8;7,5;6,8;5,958;5,0;-2;2022;Ágata;Menina;Escola Pública;2005;7,2;17;1;0;Moderada
5;6,682;7,1;8,8;5,0;5,8;6,75;5,0;-2;2022;Ágata;Menina;Rede Decisão;2005;7,0;17;0;0;Moderada
5;6,243;6,7;7,3;5,0;4,3;5,833;10,0;0;2022;Ágata;Menino;Escola Pública;2007;5,9;15;1;1;Em fase
5;7,566;7,5;9,6;5,6;6,7;8,458;5,0;-1;2022;Ametista;Menino;Rede Decisão;2006;8,0;16;0;1;Moderada
5;8,712;8,3;9,6;7,5;8,8;8,5;10,0;0;2022;Topázio;Menino;Rede Decisão;2007;7,5;15;0;1;Em fase
5;7,498;7,1;9,2;5,6;6,5;9,208;5,0;-2;2022;Ametista;Menino;Escola Pública;2005;7,5;17;1;1;Moderada
5;7,323;9,6;7,8;7,5;5,9;8,0;5,0;-1;2022;Ametista;Menino;Escola Pública;2006;7,7;16;1;1;Moderada
5;9,442;10,0;9,7;9,4;8,5;9,75;10,0;2;2022;Topázio;Menina;Rede Decisão;2009;9,1;13;0;0;Em fase
5;6,645;9,2;5,7;5,6;6,6;7,125;5,0;-1;2022;Ágata;Menina;Rede Decisão;2006;7,8;16;0;0;Moderada
5;6,957;9,2;7,1;5,0;7,4;6,667;5,0;-1;2022;Ágata;Menina;Rede Decisão;2006;8,0;16;0;0;Moderada
5;8,941;8,3;9,7;8,1;8,5;9,083;10,0;0;2022;Topázio;Menina;Rede Decisão;2007;8,4;15;0;0;Em fase
